country,population
 Burundi,   11 939
 Comoros,    870
 Djibouti,   1 000
 Eritrea,   5 432
 Ethiopia,   112 759
 Kenya,   53 492
 Madagascar,   27 691
 Malawi,   20 284
 Mauritius,   1 274
 Mayotte,    273
 Mozambique,   32 309
 Réunion,    897
 Rwanda,   13 087
 Seychelles,    96
 Somalia,   16 105
 South Sudan,   13 610
 Uganda,   47 188
Tanzania,   62 775
 Zambia,   18 679
 Zimbabwe,   17 680
 Angola,   32 827
 Cameroon,   25 958
 Central African Republic,   4 921
 Chad,   16 285
 Congo,   5 687
 Democratic Republic of the Congo,   89 505
 Equatorial Guinea,   1 406
 Gabon,   2 151
 Sao Tome and Principe,    218
 Algeria,   43 333
 Egypt,   102 941
 Libya,   6 662
 Morocco,   37 071
 Sudan,   43 541
 Tunisia,   11 903
 Western Sahara,    597
 Botswana,   2 416
 Lesotho,   2 322
 Namibia,   2 697
 South Africa,   58 721
 Swaziland,   1 439
 Benin,   12 123
 Burkina Faso,   20 903
 Cabo Verde,    567
 Côte d'Ivoire,   26 172
 Gambia,   2 293
 Ghana,   30 734
 Guinea,   13 751
 Guinea-Bissau,   2 001
 Liberia,   5 104
 Mali,   20 284
 Mauritania,   4 784
 Niger,   24 075
 Nigeria,   206 153
 Saint Helena,    4
 Senegal,   17 200
 Sierra Leone,   8 047
 Togo,   8 384
 China,  1 424 548
Hong Kong,   7 548
Macao,    652
Taiwan,   23 818
 Dem. People's Republic of Korea,   25 841
 Japan,   126 496
 Mongolia,   3 209
 Republic of Korea,   51 507
 Central Asia,   73 821
Kazakhstan,   18 777
Kyrgyzstan,   6 302
Tajikistan,   9 475
Turkmenistan,   6 031
Uzbekistan,   33 236
Afghanistan,   38 055
Bangladesh,   169 775
Bhutan,    835
India,  1 383 198
Iran,   83 587
Maldives,    459
Nepal,   30 260
Pakistan,   208 362
Sri Lanka,   21 084
 Brunei Darussalam,    445
 Cambodia,   16 716
 Indonesia,   272 223
 Lao People's Democratic Republic,   7 165
 Malaysia,   32 869
 Myanmar,   54 808
 Philippines,   109 703
 Singapore,   5 935
 Thailand,   69 411
 Timor-Leste,   1 381
 Viet Nam,   98 360
 Armenia,   2 939
 Azerbaijan,   10 100
 Bahrain,   1 698
 Cyprus,   1 207
 Georgia,   3 899
 Iraq,   41 503
 Israel,   8 714
 Jordan,   10 209
 Kuwait,   4 303
 Lebanon,   6 020
 Oman,   5 150
 Qatar,   2 792
 Saudi Arabia,   34 710
 State of Palestine,   5 323
 Syrian Arab Republic,   18 924
 Turkey,   83 836
 United Arab Emirates,   9 813
 Yemen,   30 245
 Belarus,   9 415
 Bulgaria,   6 941
 Czechia,   10 633
 Hungary,   9 621
 Poland,   37 942
 Republic of Moldova,   4 018
 Romania,   19 388
 Russian Federation,   143 787
 Slovakia,   5 451
 Ukraine,   43 579
 Channel Islands,    168
 Denmark,   5 797
 Estonia,   1 301
 Faeroe Islands,    50
 Finland,   5 580
 Iceland,    343
 Ireland,   4 888
 Isle of Man,    86
 Latvia,   1 893
 Lithuania,   2 852
 Norway,   5 450
 Sweden,   10 122
 United Kingdom,   67 334
 Albania,   2 942
 Andorra,    77
 Bosnia and Herzegovina,   3 498
 Croatia,   4 116
 Gibraltar,    35
 Greece,   11 103
 Holy See,    1
 Italy,   59 132
 Malta,    434
 Montenegro,    629
 Portugal,   10 218
 San Marino,    34
 Serbia,   8 704
 Slovenia,   2 082
 Spain,   46 459
 TFYR Macedonia,   2 088
 Austria,   8 782
 Belgium,   11 620
 France,   65 721
 Germany,   82 540
 Liechtenstein,    39
 Luxembourg,    604
 Monaco,    39
 Netherlands,   17 181
 Switzerland,   8 671
 Anguilla,    15
 Antigua and Barbuda,    105
 Aruba,    106
 Bahamas,    407
 Barbados,    288
 British Virgin Islands,    33
 Caribbean Netherlands,    26
 Cayman Islands,    64
 Cuba,   11 495
 Curaçao,    163
 Dominica,    75
 Dominican Republic,   11 108
 Grenada,    109
 Guadeloupe,    448
 Haiti,   11 371
 Jamaica,   2 913
 Martinique,    385
 Montserrat,    5
 Puerto Rico,   3 651
 Saint Kitts and Nevis,    57
 Saint Lucia,    181
 Saint Vincent and the Grenadines,    111
 Sint Maarten (Dutch part),    41
 Trinidad and Tobago,   1 378
 Turks and Caicos Islands,    37
 United States Virgin Islands,    105
 Belize,    398
 Costa Rica,   5 044
 El Salvador,   6 479
 Guatemala,   17 911
 Honduras,   9 719
 Mexico,   133 870
 Nicaragua,   6 417
 Panama,   4 289
 Argentina,   45 510
 Bolivia,   11 544
 Brazil,   213 863
 Chile,   18 473
 Colombia,   50 220
 Ecuador,   17 336
 Falkland Islands (Malvinas),    3
 French Guiana,    304
 Guyana,    791
 Paraguay,   7 066
 Peru,   33 312
 Suriname,    578
 Uruguay,   3 494
 Venezuela,   33 172
Bermuda,    61
Canada,   37 603
Greenland,    57
Saint Pierre and Miquelon,    6
US,   331 432
 Australia,   25 398
 New Zealand,   4 834
 Fiji,    925
 New Caledonia,    287
 Papua New Guinea,   8 756
 Solomon Islands,    647
 Vanuatu,    294
 Guam,    169
 Kiribati,    122
 Marshall Islands,    53
 Micronesia (Fed. States of),    108
 Nauru,    11
 Northern Mariana Islands,    55
 Palau,    22
 American Samoa,    56
 Cook Islands,    18
 French Polynesia,    291
 Niue,    2
 Samoa,    200
 Tokelau,    1
 Tonga,    111
 Tuvalu,    11
 Wallis and Futuna Islands,    12
